Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,"11,13,67,209",,"11,99,031",,"10,90,53,249",,"11,14,929","1,771","3,32,633","3,581","1,18,67,42,917","35,44,577","33,48,05,269"
India,"4,50,28,429",161,"5,33,475",2,N/A,N/A,N/A,N/A,"32,012",379,"93,58,79,495","6,65,334","1,40,66,31,776"
France,"4,01,38,560",,"1,67,642",,"3,99,70,918",,0,,"6,12,013","2,556","27,14,90,188","41,39,547","6,55,84,518"
Germany,"3,88,19,284",574,"1,82,439",28,"3,82,40,600",,"3,96,245",N/A,"4,62,776","2,175","12,23,32,384","14,58,359","8,38,83,596"
Brazil,"3,84,07,327",,"7,09,765",,"3,62,49,161",,"14,48,401",N/A,"1,78,345","3,296","6,37,76,166","2,96,146","21,53,53,593"
S. Korea,"3,45,71,873",,"35,934",,"3,45,35,939",,0,,"6,73,523",700,"1,58,04,065","3,07,892","5,13,29,899"
Japan,"3,38,03,572",,"74,694",,N/A,N/A,N/A,N/A,"2,69,169",595,"10,04,14,883","7,99,578","12,55,84,838"
Italy,"2,67,16,804",,"1,96,257",,"2,63,47,863",,"1,72,684",67,"4,43,338","3,257","28,02,38,086","46,50,269","6,02,62,770"
UK,"2,48,98,914",,"2,32,112",,"2,46,55,170",,"11,632",N/A,"3,63,499","3,389","52,25,26,476","76,28,357","6,84,97,907"
Russia,"2,39,57,146",,"4,02,264",,"2,33,70,779",,"1,84,103",N/A,"1,64,308","2,759","27,34,00,000","18,75,095","14,58,05,947"
Turkey,"1,72,32,066",,"1,02,174",,N/A,N/A,N/A,N/A,"2,01,399","1,194","16,27,43,369","19,02,052","8,55,61,976"
Spain,"1,39,14,811",,"1,21,760",,"1,37,62,417",,"30,634",231,"2,97,840","2,606","47,10,36,328","1,00,82,298","4,67,19,142"
Australia,"1,18,12,730","1,345","24,228",,N/A,N/A,N/A,5,"4,53,137",929,"8,19,16,639","31,42,326","2,60,68,792"
Vietnam,"1,16,24,114",,"43,206",,"1,06,40,971",,"9,39,937",,"1,17,470",437,"8,58,26,548","8,67,342","9,89,53,541"
Taiwan,"1,02,41,523",,"19,005",,"1,02,22,518",,0,,"4,28,720",796,"3,07,42,304","12,86,903","2,38,88,595"
Argentina,"1,00,94,643",,"1,30,733",,"99,63,910",,0,,"2,19,400","2,841","3,57,16,069","7,76,264","4,60,10,234"
Netherlands,"86,34,340",,"22,992",,"86,10,383",622,965,N/A,"5,01,663","1,336","2,59,84,435","15,09,718","1,72,11,447"
Mexico,"77,02,809",,"3,34,958",,"68,99,865",,"4,67,986",N/A,"58,549","2,546","2,00,13,810","1,52,124","13,15,62,772"
Iran,"76,26,527",,"1,46,799",,N/A,N/A,N/A,,"88,657","1,707","5,73,20,267","6,66,338","8,60,22,837"
Indonesia,"68,28,605",,"1,62,033",,"66,47,104",,"19,468",N/A,"24,463",580,"11,41,58,919","4,08,975","27,91,34,505"
Poland,"66,59,256",210,"1,20,553",6,N/A,N/A,N/A,N/A,"1,76,452","3,194","3,92,59,301","10,40,263","3,77,39,785"
Colombia,"63,90,825",,"1,43,146",,"62,10,192",,"37,487",342,"1,24,063","2,779","3,69,51,507","7,17,327","5,15,12,762"
Greece,"61,01,379",,"37,869",,N/A,N/A,N/A,,"5,91,412","3,671","10,22,28,365","99,09,078","1,03,16,637"
Austria,"60,81,287",,"22,542",,"60,54,934",,"3,811",,"6,70,727","2,486","21,12,73,524","2,33,02,116","90,66,710"
Portugal,"56,42,217",,"28,093",,"56,13,586",,538,61,"5,56,400","2,770","4,61,39,518","45,49,993","1,01,40,570"
Ukraine,"55,57,995",,"1,12,418",,"54,45,577",,0,,"1,28,681","2,603","3,26,03,805","7,54,855","4,31,92,122"
Chile,"53,56,303",,"64,497",,"52,52,450",,"39,356",7,"2,78,247","3,350","5,03,82,097","26,17,225","1,92,50,195"
Malaysia,"52,74,786",,"37,347",,"52,29,308",,"8,131",11,"1,58,970","1,126","6,85,80,916","20,66,869","3,31,81,072"
Canada,"49,29,750",,"58,348",,"48,52,719","2,116","18,683",99,"1,28,418","1,520","6,65,72,774","17,34,189","3,83,88,419"
Belgium,"48,58,488",,"34,376",,"48,20,246",168,"3,866",N/A,"4,16,384","2,946","3,74,54,182","32,09,915","1,16,68,278"
Israel,"48,41,772",,"12,707",,"47,98,473",,"30,592",N/A,"5,19,169","1,363","4,13,73,364","44,36,346","93,26,000"
DPRK,"47,72,813",,74,,"47,72,739",,0,,"1,83,636",3,,,"2,59,90,679"
Thailand,"47,66,751",,"34,564",,"46,92,636",,"39,551",N/A,"68,020",493,"1,72,73,454","2,46,488","7,00,78,203"
Czechia,"47,58,292",46,"43,503",,"47,13,257",73,"1,532",4,"4,43,177","4,052","5,77,80,549","53,81,551","1,07,36,784"
Peru,"45,72,667",,"2,22,161",,"43,50,506",,0,4,"1,35,751","6,595","3,90,10,194","11,58,115","3,36,84,208"
Switzerland,"44,51,386",,"14,452",,"44,35,850",816,"1,084",N/A,"5,07,359","1,647","2,38,33,472","27,16,487","87,73,637"
Philippines,"41,40,383",,"66,864",,"40,67,381",,"6,138",N/A,"36,800",594,"3,61,02,746","3,20,888","11,25,08,994"
South Africa,"40,76,463",,"1,02,595",,"39,12,506",,"61,362",192,"67,095","1,689","2,67,95,090","4,41,027","6,07,56,135"
Romania,"35,24,982",,"68,860",,"34,52,423",,"3,699",29,"1,85,220","3,618","2,86,16,133","15,03,632","1,90,31,335"
Denmark,"31,83,756",,"8,814",,"31,74,942",,0,,"5,45,636","1,511","12,93,33,107","2,21,65,247","58,34,950"
Singapore,"30,01,665",,"1,933",,"29,98,448",428,"1,284",4,"5,05,029",325,"2,47,56,666","41,65,302","59,43,546"
Hong Kong,"29,28,551",,"14,542",,"29,11,227",,"2,782",N/A,"3,85,118","1,912","7,61,27,725","1,00,11,143","76,04,299"
Sweden,"27,53,119",,"27,293",,"27,24,761",36,"1,065",N/A,"2,69,413","2,671","1,95,00,873","19,08,301","1,02,18,971"
Serbia,"26,14,044",,"18,057",,"25,95,259",536,728,,"3,02,096","2,087","1,34,20,125","15,50,919","86,53,016"
New Zealand,"25,92,549",,"5,533",,"25,82,426",,"4,590",,"5,29,286","1,130","77,68,604","15,86,011","48,98,203"
Iraq,"24,65,545",,"25,375",,"24,39,497",,673,,"58,474",602,"1,95,44,451","4,63,523","4,21,64,965"
Hungary,"22,29,804",,"49,039",,"21,52,155",,"28,610",,"2,32,120","5,105","1,13,94,556","11,86,160","96,06,259"
Bangladesh,"20,47,373",,"29,482",,N/A,N/A,N/A,N/A,"12,195",176,"1,52,54,399","90,862","16,78,85,689"
Slovakia,"18,77,257",,"21,219",,"18,56,038",,0,23,"3,43,808","3,886","74,48,789","13,64,199","54,60,193"
Georgia,"18,55,289",,"17,132",,N/A,N/A,N/A,,"4,67,476","4,317","1,69,20,079","42,63,340","39,68,738"
Jordan,"17,46,997",,"14,122",,"17,31,007",,"1,868",59,"1,69,597","1,371","1,72,01,885","16,69,945","1,03,00,869"
Ireland,"17,33,110",,"9,480",,"17,22,398",,"1,232",19,"3,45,227","1,888","1,30,83,449","26,06,161","50,20,199"
Pakistan,"15,81,936",,"30,664",,"15,38,689",,"12,583",,"6,893",134,"3,05,89,153","1,33,292","22,94,88,994"
Finland,"15,15,108",,"11,939",,"15,02,620",27,549,N/A,"2,72,749","2,149","1,21,08,977","21,79,850","55,54,960"
Norway,"15,09,662",,"6,636",,"15,02,842",18,184,N/A,"2,73,918","1,204","1,10,02,430","19,96,315","55,11,370"
Kazakhstan,"14,11,831",,"13,848",,"13,83,020",,"14,963",24,"73,514",721,"1,15,75,012","6,02,707","1,92,05,043"
Lithuania,"13,96,037",77,"9,895",,"13,84,266",154,"1,876",N/A,"5,24,489","3,718","1,05,40,357","39,59,997","26,61,708"
Slovenia,"13,56,402",12,"7,100",,"13,49,175",19,127,N/A,"6,52,733","3,417","28,47,701","13,70,382","20,78,034"
Bulgaria,"13,39,321",21,"38,737",1,"12,92,587",8,"7,997",35,"1,95,676","5,660","1,16,23,445","16,98,193","68,44,597"
Croatia,"13,09,728",,"18,687",,"12,58,432",,"32,609",,"3,22,650","4,604","56,60,084","13,94,355","40,59,286"
Guatemala,"12,86,737",,"20,283",,"12,63,625",,"2,829",5,"69,239","1,091","75,93,848","4,08,622","1,85,84,039"
Morocco,"12,78,844",,"16,301",,N/A,N/A,N/A,N/A,"33,856",432,"1,30,01,033","3,44,191","3,77,72,756"
Lebanon,"12,43,838",,"10,952",,"10,87,587",,"1,45,299",74,"1,86,068","1,638","47,95,578","7,17,380","66,84,849"
Costa Rica,"12,38,883",,"9,428",,N/A,N/A,N/A,N/A,"2,39,058","1,819","46,59,757","8,99,158","51,82,354"
Bolivia,"12,11,716",,"22,407",,"11,77,145",,"12,164",220,"1,01,038","1,868","27,10,261","2,25,993","1,19,92,656"
Tunisia,"11,53,361",,"29,423",,N/A,N/A,N/A,N/A,"95,741","2,442","50,13,383","4,16,164","1,20,46,656"
Cuba,"11,15,235",,"8,530",,"11,06,635",,70,,"98,644",754,"1,44,00,079","12,73,706","1,13,05,652"
Ecuador,"10,70,188",,"36,043",,"10,34,145",,0,,"59,083","1,990","30,82,403","1,70,173","1,81,13,361"
UAE,"10,67,030",,"2,349",,N/A,N/A,N/A,,"1,05,837",233,"20,07,32,262","1,99,10,389","1,00,81,785"
Panama,"10,59,742",,"8,726",,"10,50,908",,108,16,"2,38,307","1,962","78,47,296","17,64,641","44,46,964"
Uruguay,"10,41,111",,"7,664",,"10,30,944",,"2,503",18,"2,97,799","2,192","61,14,822","17,49,083","34,96,016"
Mongolia,"10,11,456",,"2,284",,"10,09,172",,0,N/A,"2,99,418",676,"40,30,048","11,93,000","33,78,078"
Nepal,"10,03,450",,"12,031",,"9,91,322",,97,,"33,199",398,"60,47,766","2,00,088","3,02,25,582"
Belarus,"9,94,037",,"7,118",,"9,85,592",,"1,327",,"1,05,381",755,"1,36,46,641","14,46,722","94,32,800"
Latvia,"9,82,232",,"6,675",,"9,71,406",,"4,151",,"5,31,270","3,610","78,85,792","42,65,272","18,48,837"
Saudi Arabia,"8,41,469",,"9,646",,N/A,N/A,N/A,,"23,475",269,"4,54,81,735","12,68,848","3,58,44,909"
Paraguay,"8,37,602",,"20,151",,N/A,N/A,N/A,N/A,"1,14,648","2,758","26,57,506","3,63,751","73,05,843"
Azerbaijan,"8,34,630",,"10,400",,"8,24,089",,141,,"81,030","1,010","77,48,050","7,52,223","1,03,00,205"
Bahrain,"7,29,549",,"1,574",,"7,27,915",,60,N/A,"4,08,944",882,"1,09,48,549","61,37,138","17,83,983"
Cyprus,"6,81,110",,"1,365",,"6,79,745",,0,,"5,56,741","1,116","96,40,118","78,79,860","12,23,387"
Dominican Republic,"6,74,608",,"4,384",,"6,69,198",,"1,026",4,"61,015",397,"37,40,928","3,38,350","1,10,56,370"
Sri Lanka,"6,72,748",,"16,897",,"6,55,852",,-1,,"31,181",783,"64,86,117","3,00,619","2,15,75,842"
Kuwait,"6,67,026",,"2,570",,N/A,N/A,N/A,,"1,52,278",587,"84,55,743","19,30,391","43,80,326"
Myanmar,"6,41,770",,"19,495",,"6,20,159",,"2,116",,"11,621",353,"1,16,56,269","2,11,061","5,52,27,143"
Moldova,"6,34,130",,"12,202",,N/A,N/A,N/A,N/A,"1,58,012","3,040","32,16,305","8,01,437","40,13,171"
Estonia,"6,27,743",,"3,001",,N/A,N/A,N/A,N/A,"4,74,876","2,270","69,39,567","52,49,652","13,21,910"
Palestine,"6,21,008",,"5,404",,"6,15,445",,159,,"1,16,173","1,011","30,78,533","5,75,907","53,45,541"
Venezuela,"5,52,695",,"5,856",,"5,46,537",,302,31,"18,885",200,"33,59,014","1,14,771","2,92,66,991"
Egypt,"5,16,023",,"24,613",,"4,42,182",,"49,228",122,"4,861",232,"36,93,367","34,792","10,61,56,692"
Qatar,"5,14,524",,690,,"5,13,687",,147,16,"1,72,664",232,"40,65,369","13,64,257","29,79,915"
Libya,"5,07,274",,"6,437",,"5,00,835",,2,,"72,048",914,"24,83,848","3,52,782","70,40,745"
Ethiopia,"5,01,117",,"7,574",,"4,88,171",,"5,372",,"4,148",63,"55,65,340","46,066","12,08,12,698"
Réunion,"4,94,595",,921,,N/A,N/A,N/A,N/A,"5,44,672","1,014","16,03,660","17,66,027","9,08,061"
Honduras,"4,74,590",,"11,165",,N/A,N/A,N/A,N/A,"46,432","1,092","16,60,662","1,62,472","1,02,21,247"
Armenia,"4,51,426",,"8,776",,"4,35,162",,"7,488",,"1,51,895","2,953","32,42,901","10,91,164","29,71,966"
Bosnia and Herzegovina,"4,03,565",,"16,382",,"3,79,084",,"8,099",,"1,24,200","5,042","18,84,721","5,80,036","32,49,317"
Oman,"3,99,449",,"4,628",,N/A,N/A,N/A,,"75,028",869,"2,50,00,000","46,95,724","53,23,993"
Luxembourg,"3,91,020",,"1,232",,N/A,N/A,N/A,,"6,08,714","1,918","45,87,145","71,40,959","6,42,371"
North Macedonia,"3,50,509",,"9,971",,"3,37,068",,"3,470",,"1,68,408","4,791","22,26,216","10,69,626","20,81,304"
Zambia,"3,49,304",,"4,069",,"3,41,316",,"3,919",,"17,940",209,"41,12,961","2,11,244","1,94,70,234"
Kenya,"3,44,130",,"5,689",,"3,37,309",,"1,132",N/A,"6,122",101,"39,67,062","70,569","5,62,15,221"
Brunei,"3,42,802",,225,,"2,43,601",,"98,976",3,"7,69,596",505,"7,17,784","16,11,437","4,45,431"
Albania,"3,34,863",,"3,605",,"3,30,233",,"1,025",,"1,16,825","1,258","19,41,032","6,77,173","28,66,374"
Botswana,"3,30,442",,"2,801",,"3,27,049",,592,1,"1,35,363","1,147","20,26,898","8,30,300","24,41,162"
